sequence,sourceLabel,chineseMarkdown,chineseSha256,chineseBytes,chineseVisibleChars,chineseHanChars,englishPdf,englishStartPage,englishEndPage,englishPageCount,englishExtractionSha256,englishVisibleChars,englishWords,sourceUrl,packet,chineseFidelityPass,collationStatus
11,"November 6, 1963",content/partnership/partnership_1963-11月-巴菲特致合伙人信.md,65ba6fa58ed332ae53fc5b64c3fc1fd606833424234b7fb0d15afbae60a13eef,3882,1390,1075,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,49,50,2,85ee99ff74253e214148402acf5a3fd4588709fe30c2aca684382efed78841e8,3276,686,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1963-11月-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
12,"January 18, 1964 / 1963 annual",content/partnership/partnership_1963-annual-巴菲特致合伙人信.md,884698f4da4fa41fc54503360b95bf9a9e2fa443bdd94772922c100b789c8f95,30918,11830,8131,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,51,62,12,b931ea346cacf6ab68665aed6ae975fe0d036b088572a6819d4d7990454ef8ba,27625,5151,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1963-annual-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
13,"July 8, 1964 interim letter",content/partnership/partnership_1964-interim-巴菲特致合伙人信.md,3b74c04c99adda17d292483cbf9f5f80eac67662403ab26785ed2a32ed577787,9349,3716,2328,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,63,66,4,59a5232538274447bb55d8c4fec0a3294fe483283cbbcc6c51b2fec097ee5e7c,9170,1665,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1964-interim-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
14,"January 18, 1965 / 1964 annual",content/partnership/partnership_1964-annual-巴菲特致合伙人信.md,a12bb8113117c785b211beb5d0772f3ae2d0e690d9b8f4c2f3543624272e054d,37900,14378,9993,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,67,78,12,f486714e9749ca7edb794b0c2436eee64c12291540b739ddec5776d374d91637,35500,6563,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1964-annual-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
15,"July 9, 1965 interim letter",content/partnership/partnership_1965-interim-巴菲特致合伙人信.md,d31c9ff337a6d404c6f3f53b4b28b946f350821efd0da91b558a8c3e930f11a2,9728,3854,2438,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,79,82,4,adbed4a176b6e8fe13a1ac74625c67363af20deadbc86b26b720edf62c66be78,9113,1664,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1965-interim-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
16,"November 1, 1965",content/partnership/partnership_1965-11月-巴菲特致合伙人信.md,90113307ea2a571ef96cc91401adddbc91eab3dbffe38304149db4c8641b5169,5595,1933,1589,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,83,84,2,ba146b95f663dbc2f94a0c1768473f1bb153c9fcddf4a4f8083f9e91e0235452,2760,572,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1965-11月-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
17,"January 20, 1966 / 1965 annual",content/partnership/partnership_1965-annual-巴菲特致合伙人信.md,def0243f7740531ba2748a9f88ca9d8a6532ab6c34c920c6c4f8026205f2f378,30992,11694,8282,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,85,94,10,e12ee24d19841f18b0c7fe521f02a19ae7d1e9429d4c30681877a7e9788f3398,28343,5232,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1965-annual-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
18,"July 12, 1966 interim letter",content/partnership/partnership_1966-interim-巴菲特致合伙人信.md,214446a0a33bc609de1a854e1332a14b8ea9db58331f2438d5ccc7fd2953e94b,13077,5069,3311,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,95,99,5,fe127bb3ef20a4dcc339fd128d72e105821cbfd69bffa58e75f34babd3adf5f4,11468,2092,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1966-interim-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
19,"January 25, 1967 / 1966 annual",content/partnership/partnership_1966-annual-巴菲特致合伙人信.md,84551bf6e316a23e906dbdcd214c779d63750f7c10c9a7ff5c9c351a292c5abc,21092,8062,5471,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,100,107,8,46361ea49fbf7a66c720a701fa43310d93ef663746c97bd13103667e1371336a,20067,3498,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1966-annual-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
20,"July 12, 1967 interim letter",content/partnership/partnership_1967-interim-巴菲特致合伙人信.md,627eb6b1f1ff686dec417cbe90bd6405294644663ade4d14b32cbddfd58e393e,6773,2972,1480,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,108,110,3,d1a97b4ae4427e9249f4ea07b5228ebbedccd5a84cbfd77af2a6239a970d1742,5767,944,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1967-interim-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
21,"October 9, 1967",content/partnership/partnership_1967-10月-巴菲特致合伙人信.md,631b05fb84a065643971ac19dd7462857d9021c29d269dceede350d8e5f5eac6,11875,4002,3471,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,111,114,4,2177b3a7c57c6d039b6be8b0874417fdbc2b7716fea7bb21f549ee62592e7568,11925,2344,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1967-10月-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
22,"January 24, 1968 / 1967 annual",content/partnership/partnership_1967-annual-巴菲特致合伙人信.md,25bfcc0fe272ed195fc0b2202e43baed89d25158cffa86a64921bea6bcd99cb3,12110,5019,2845,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,115,119,5,eff9e2df1a5e29a512b01a235dc70692fb0be831921c1f3724d04b5ea2408489,10055,1694,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1967-annual-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
23,"July 11, 1968 interim letter",content/partnership/partnership_1968-interim-巴菲特致合伙人信.md,9083aec05e034e332111bbba49aa378442c24e6389745e81221930eb04fa5f48,8379,3534,1945,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,120,122,3,65a1326d66a22cec06cbf561cb13558fef904e44c5a30a1f51937c33e7dcdc20,7273,1198,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1968-interim-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
24,"January 22, 1969 / 1968 annual",content/partnership/partnership_1968-annual-巴菲特致合伙人信.md,c06e5ed6decc5ec2bf88cc58c93c2c60d5b6a7b5d4289ada720b197857da0f2b,16292,6723,3885,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,123,128,6,e465e9fcbb45982fcd4da92cbb2ab876db43f02e962a1c32ae3e38a6c570a12d,13736,2307,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1968-annual-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
25,"May 29, 1969",content/partnership/partnership_1969-5月-巴菲特致合伙人信.md,c99c2ce76a8a5f5f6a26802e84ff3c4e9849cd9ff90129f1f62886ee41513c38,8180,2776,2402,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,129,131,3,0823cf9c38f284f18ea637517cb838681501224ea4eb98e38494dc09dbd2c828,7448,1505,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1969-5月-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
26,"October 9, 1969",content/partnership/partnership_1969-10月-巴菲特致合伙人信.md,9b9bdd47ae7a81b692da9513b5a9542d3ed067a0759510cb0a7391391f92085d,15639,5454,4508,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,132,136,5,b1a591e14944cbe5d261987880c780c862db64b03ad6b4e8833b83d6dc17248c,14036,2759,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1969-10月-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
27,"December 5, 1969",content/partnership/partnership_1969-12月-巴菲特致合伙人信.md,762643e0a790eee5e75b92653f8b8fe21358ccaadf82bfb68cc357eea129cd04,11686,4161,3338,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,137,140,4,1c43ffc2ffc601627dcec0ffbabd047db013d25c393e04a68742d2d78305ce57,10284,1989,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1969-12月-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
28,"December 26, 1969",content/partnership/partnership_1969-12月26日-巴菲特致合伙人信.md,7885e58d3934498968f1a58ef13464b9b091545304a1199bc3b13ded61d167c2,11086,3838,3269,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,141,144,4,525b672b5b768bd68d693b4adfdb785789ae79f175299b1b4994443aef2df882,10284,2097,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1969-12月26日-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
29,"February 25, 1970 tax-exempt bond letter",content/partnership/partnership_1970-bond-巴菲特致合伙人信.md,6563e9eaba7a79ca4f1966175d6b0c3b680c8f80308376fd044bb6d772344612,27177,9312,8014,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,145,152,8,824adbedbf3d2667b32af804c258a67fef7258dcc14daa227b1d51ac048fed60,25594,5364,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1970-bond-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
